art;pr
236-1005178-А;320.86
236-1005180-А;317.2
236-1005181;10.98
7511.1005183;1065.06
240-1005373-А;333.06
238АК-1005512;628.3
840.1005526;265.96
240-1005532;3418.44
240-1005535;117.12
240-1005536;91.5
850.1005536;111.02
240-1005537;403.82
240-1005580-В;4692.12
240-1005583-Б;1363.96
240-1005584-В;1382.26
240-1005585;80.52
240-1005589-Б;1754.36
240-1005592;1856.84
240-1005596-Б;132.98
240-1005600;1788.52
240-1005611;43.92
240-1005612;52.46
240-1005648;11247.18
240-1005657;861.3199999999999
240-1005658;436.76
240-1005661;1017.48
240Т-1005661;802.76
240-1005663;43.92
240Т-1005663;26.84
240-1005674;2570.54
240-1005676;1413.98
840.1005676;1137.04
240-1005678;2594.94
240-1005683;111.02
236-1006010-Б6;15720.92
238-1006010-Б6;17707.079999999998
7511.1006010-01;21781.88
7601.1006010-01;20482.579999999998
236-1006015-Г3;9500.14
238-1006015-Г3;11110.539999999999
240-1006015;32721.62
7511.1006015;18112.12
7601.1006015;18235.34
840.1006010;48647.5
855.1006010;79770.92
840.1006015;39479.2
236-1006026-А;1679.94
236-1006026-АР;1679.94
236-1006026-А-Р1;1679.94
7511.1006026;1704.34
840.1006032-02;3485.54
236-1006037-А;1601.86
236-1006037-АР;1601.86
240-1006200;7645.74
7511.1006200-02;5890.16
240-1006214;6154.9
7511.1006214-10;4511.5599999999995
236-1006236-Б;900.36
240-1006236;777.14
840.1007022;34.16
236-1007024-В;136.64
7511.1007025;78.08
236-1007026-Б;123.22
840.1007027;34.16
236-1007028-А;68.32
840.1007028;43.92
240-1007090-В2;2705.96
236-1007091-Б2;1068.72
240-1007102-Б;830.8199999999999
236-1007103-А;119.56
240-1007106-В;1273.68
236-1007118-В;330.62
840.1007118;544.12
240-1007132-В;1177.3
840.1007136;176.9
236-1007144-В2;1177.3
7511.1007144;1029.68
236-1007148-Б;168.35999999999999
236-1007176-А2;555.1
240-1007176-А;653.92
7511.1007180;2239.92
236-1007186;170.79999999999998
236-1007187-Б;131.76
201-1007194;146.4
7511.1007199;335.5
236-1007236;1118.74
240-1007236;2038.62
236-1007239;1318.82
236-1007242;1107.76
240-1007242;1869.04
236-1007244-А;536.8
240-1007244;481.9
240-1007244-А;509.96
240-1007245;668.56
236-1007246-А;651.48
236-1007247-Б;496.53999999999996
240-1007247;481.9
236-1007248-А;230.57999999999998
8401.1007250;12651.4
236-1007262;172.02
8401.1008012;16021.039999999999
8401.1008016;15046.26
236-1008022-В;5311.88
236Н-1008022;4695.78
238-1008022-Б;6767.34
238-1008022-Г;6869.82
238Ф-1008022;5643.72
240-1008022;4396.88
240Н-1008022-А;10040.6
8401.1008022-10;11963.32
236-1008023;6039
238-1008023;7590.84
240-1008024;6612.4
240Н-1008024-А;8492.42
7511.1008025;6248.84
8401.1008025;9096.32
7511.1008026;6616.0599999999995
8401.1008026;9023.119999999999
238Ф-1008027;214.72
240Н-1008027-А;218.38
840.1008027;248.88
8401.1008027;218.38
8401.1008029-10;11236.199999999999
8401.1008030;11782.76
238БК-1008040;21186.52
238БК-1008042;17227.62
7511.1008042-01;4100.42
7511.1008043-01;4077.24
240Н-1008044-Б2;3885.7
8401.1008044;6092.68
8401.1008045-10;222.04
7511.1008058;372.09999999999997
240Н-1008072-А;3772.24
240Н-1008098;162.26
8401.1008131;5596.14
8401.1008132;5625.42
8401.1008214;3766.14
8502.1008232;11191.06
8502.1008235;217.16
240-1008252-А;1636.02
240-1008254-А;1554.28
240Н-1008475;12162.18
236Н-1008480;10150.4
240Н-1008480;10861.66
236БЕ-1008481;9038.98
236Д-1008482;8443.619999999999
236Н-1008482;9517.22
238Ф-1008482;9384.24
240Н-1008482;10065
240Н-1008483;9041.42
240Н-1008504;298.9
840.1008504;372.09999999999997
240Н-1008506;89.06
840.1005167;1577.46
240Н-1008510;197.64
8401.1008516;1504.26
8401.1008518;2497.34
240-1009004;624.64
236-1009010-А;6916.18
236-1009010-В3;13334.6
236-1009010-Г2;8231.34
236А-1009010;7457.86
236ДК-1009010;7284.62
236НД-1009010;7147.98
238-1009010-А;8064.2
238Б-1009010;8643.699999999999
238БК-1009010;9322.02
238В-1009010-А2;10590.82
238Н-1009010-А2;10289.48
238Ф-1009010-Б2;9075.58
238НБ-1009010-Б2;8842.56
240-1009010-А;9558.699999999999
840.1009010;12167.06
236-1009020-Б;64.66
238-1009022-Б;91.5
236-1009024-Б;189.1
201-1009042-Б;148.84
240-1009050-Б;342.82
840.1009050;325.74
845.1009050;390.4
