art;pr
33.1111054-05;71.98
33.1111058;57.339999999999996
33.1111060-10;294.02
33.1111064-11;224.48
33.1111069-05;101.25999999999999
33.1111069-10;176.9
33.1111070;12.2
33.1111083;90.28
33.1111098;345.26
33.1111102-10;545.34
33.1111102-10.01;545.34
33.1111108;45.14
33.1111108-01;69.53999999999999
33.1111113;76.86
33.1111117-01;108.58
33.1111126;168.35999999999999
33.1111136-03;1173.6399999999999
33.1111140;161.04
33.1111148-02;224.48
33.1111170;9174.4
33.1111172;5786.46
33.1111180;1606.74
33.1111182;1243.18
33.1111192;96.38
33.1111193;101.25999999999999
33.1111194;102.48
33.1111196;132.98
33.1111259-05;98.82
33.1111259-10;108.58
33.1111266;174.46
33.1111282-01;600.24
33.1111289-10;20.74
33.1111306-01;39.04
33.1111400;835.6999999999999
33.1111406;156.16
33.1111418;170.79999999999998
33.1111550;1237.08
33.1111552;1198.04
33.1111575;240.34
33.1112023-10;1162.66
33.1112116;348.92
33.1112135-10;68.32
33.1112135-20;75.64
33.1112140-02;176.9
33.1112150;348.92
33.1112154;263.52
33.1112342;207.4
33.1112382;412.36
33.1121020-10;2538.82
33.1121032;1800.72
33.1121037;150.06
33.1121038;202.51999999999998
33.1121046;2543.7
33.1121060;389.18
33.1121066-01;211.06
33.1121067-01;202.51999999999998
33.1121070-02;161.04
33.1121080-10;2443.66
33.1121086-10;2358.2599999999998
33.1121090-01;264.74
33.1121098-01;75.64
33.1121100-10;202.51999999999998
332.1106090;2986.56
332.1106091;1773.8799999999999
332.1106311;527.04
332.1106316-01;344.04
332.1106352;285.48
332.1110128;1464
332.1110128-10;3530.68
332.1110129;1019.92
332.1110138;75.64
332.1110154;250.1
332.1110154-11;202.51999999999998
332.1110160-51;3789.3199999999997
332.1110160-51.04;3666.1
332.1110160-61;3883.2599999999998
332.1110176;67.1
332.1110176-10;98.82
332.1110176-60;52.46
332.1110448;147.62
332.1111055;7002.8
332.1111090-10;458.71999999999997
332.1111090-11;231.79999999999998
