Номенклатура;Остатки
840.1029170 Корпус подшипника в сборе с манжетой;3
840.1029178-10 Прокладка корпуса;4
840.1029260-11 Полумуфта ведущая с пластинами (ТМЗ);6
840.1029262-11 Фланец ведущей полумуфты передний с пластинами;4
840.1029270-10 Фланец ведущей полумуфты задний;1
840.1029272-10 Пластина задняя (ТМЗ);6
840.1029274-10 Пластина передняя;6
840.1029288-10 Фланец ведомой полумуфты (ТМЗ);1
840.1029300 Полумуфта в сборе;4
840.1029438-01 Манжета 30х50 (фторкаучук);10
840.1104349 Наконечник;6
840.1104361-10 Трубка;16
840.1104446 (Т) Скоба;32
840.1104446 Скоба;
840.1104514 Скоба;
840.1104825 Кляммер;
840.1104918 Ниппель (ГБЦ);19
840.1105010 Фильтр грубой очистки топлива (ЯМЗ);2
840.1108054 Наконечник;7
840.1112010-35 Форсунка АЗПИ (дв.ТМЗ-8486.10-04);8
840.1112163 Скоба крепления форсунки (ТМЗ);241
840.1112169 Опора скобы (ГБЦ);14
840.1112406-10 Трубка топливная;
840.1112528 (Т) Скоба;14
840.1112528 Скоба;
840.1112548 Гайка (ТМЗ);
840.1115026 Прокладка впускного коллектора;84
840.1117010 Фильтр тонкой очистки топлива в сб;1
840.1117020 Корпус топливного фильтра с/о (ТМЗ);4
840.1117030-01 Элемент ФТОТ DIFA-6307.1Р Волокно;9
840.1117186  Прокладка колпака (кольцо, паронит);8
840.1121086 Корпус муфты (ЯЗДА);2
840.1303082 Муфта;
840.1303082-03 Муфта (тонк.);21
840.1303084 Муфта;
840.1303084-03 Муфта (тонк.);10
840.1303268 Прокладка;77
840.3509294 Фланец;2
840.3901210 Съемник форсунки;12
8401.1003001-06 Р/к инд. ГБЦ (металл, силикон)   Т;8
"8401.1004008-05 Комплект: гильза-поршень (ТМЗ, поршень пр-ва ""Federal-Mogul"")";
8401.1004015 Поршень (КМЗ);4
8401.1004015 Поршень (ТМЗ);1
8401.1004020 Палец поршневой (КаМЗ);5
8401.1004022 Кольцо стопорное;400
